activity_no,activity_date,activity_name,activity_short_name,activity_location,activity_start_time,activity_end_time,activity_intro,activity_news
36,20,"FA訪談秀 YouTuber",FA訪談秀,空中花園,13:00,14:00,她如何孤身一人，踏入紐約時尚界？,"留著一頭短髮，笑起來十分陽光，知性優雅中帶點小時髦。她是Serene，今年才20歲，目前就讀美國杜克大學。最初是在Dcard女孩版上，以一系列的「 紐約時尚實習日誌」文章為人所知。輔修視覺媒體的她，也有屬於自己的Youtube頻道。年紀輕輕，所擁有的不凡生活體驗和人生觀，是許多同齡女孩們所不曾擁有、且一心嚮往的。樂於分享的她，把自己的生活經驗分享給網友們，也成為了許多人學習的目標。"
5,21,台北COMPUTEX,COMPUTEX,貿易中心,10:00,16:00,物聯網的應用已愈來愈精彩，了解最新趨勢！,"廠商預期 2018 年物聯網就要進入商機爆發期，使得物聯網應用成為今年 COMPUTEX 的重頭戲，包括聚焦安全應用、智慧居家與娛樂、智慧穿戴、車用電子、3D 商業、智慧科技解決方案、智慧製造等超過 180 家廠商參展，當中也能看到台廠在物聯網時代的轉型成果。"
85,21,智慧音料箱大展,音料箱大展,旋轉餐廳,16:00,20:00,體驗音料箱為您點餐的服務,"日本網站 iPhone Mania 8 日報導，科技市調機構 Canalys 指出，Google 的 Google Home、亞馬遜（Amazon）Echo 以及蘋果（Apple）HomePod（預計 2018 年初期開賣）等智慧音箱產品將成為今年成長最快速的消費性科技產品，預估成長速度將更勝虛擬實境（VR）/ 擴增實境（AR）機器以及穿戴式裝置。"
67,21,星際大戰變裝秀,變裝秀,未來大道,19:00,20:30,穿上你最酷的服裝，共襄盛舉吧！,"2017年年底以及四月中釋出的新篇《星際大戰》預告《Star Wars: The Force Awaken》想必讓不少星際迷雀躍不已。說到這經典電影星際大戰，日編對R2-D2最情有獨衷了！雖然他只會發出嗶嗶嗶的聲音，但果然厲害的機器人在危急時刻總能化險為夷！這次美國的Sideshow網站召集了90名星際迷來為R2-D2舉辦一場爭奇鬥豔的變裝秀活動，裡面不乏知名電影融入R2-D2的造型中。"
86,22,APP關鍵報告,APP報告,演講廳,14:30,16:00,Flurr報告2017年行動市場趨勢,"2017 年 App 整體使用量的成長幅度為 6%，與 2016 年的成長幅度 11% 相比，2017 年成長趨向平緩。正如 Flurry 在 2017 年發布的數據報告：使用者每天使用智慧型手機的時間已超過 5 小時，App 總使用時間已趨飽和，只是在新下載與已安裝的 App 間重新進行分配。"
45,22,科幻的未來,科幻的未來,國際會議中心,09:00,12:00,"「科幻的未來 ‧ 未來的科幻」座談會",科幻小說在世界各國都是廣受年輕人喜愛的文類。近年來大陸的科幻小說風起雲湧，蔚為大觀。反觀台灣的科幻小說在九○年代有傑出的成績，但是這幾年卻比較消沉，原因究竟是什麼？科幻本來就是預測未來的文類，但是科幻小說的未來又在哪裡？乘張系國回台之便，藉由一場來自兩世代台灣科幻小說的對談，讓我們一起重新認識台灣科幻小說面臨的困境及未來發展。
61,22,NASA太空講座,太空講座,明日之廳,09:00,09:30,NASA將宣布最新宇宙探索計畫,日本的月球人造衛星「輝夜姬」回傳的資料，日本宇宙航空研究開發機構（JAXA）於10月表示，月球地底竟藏了個寬100公尺，長達50公里的神秘大空間，可能是「人類月球基地」的絕佳建設地點。而美國太空總署（NASA）於9日表示，未來將會派遣探查火箭前往探勘。
40,23,"FA訪談秀 YouTuber",FA訪談秀,空中花園,13:00,14:00,她如何孤身一人，踏入紐約時尚界？,"留著一頭短髮，笑起來十分陽光，知性優雅中帶點小時髦。她是Serene，今年才20歲，目前就讀美國杜克大學。最初是在Dcard女孩版上，以一系列的「 紐約時尚實習日誌」文章為人所知。輔修視覺媒體的她，也有屬於自己的Youtube頻道。年紀輕輕，所擁有的不凡生活體驗和人生觀，是許多同齡女孩們所不曾擁有、且一心嚮往的。樂於分享的她，把自己的生活經驗分享給網友們，也成為了許多人學習的目標。"
87,23,APP關鍵報告,APP報告,演講廳,14:30,16:00,Flurr報告2017年行動市場趨勢,"2017 年 App 整體使用量的成長幅度為 6%，與 2016 年的成長幅度 11% 相比，2017 年成長趨向平緩。正如 Flurry 在 2017 年發布的數據報告：使用者每天使用智慧型手機的時間已超過 5 小時，App 總使用時間已趨飽和，只是在新下載與已安裝的 App 間重新進行分配。"
53,23,微軟的重生如何改變未來,科技商學院,國際會議中心,15:00,17:00,整合科技與商業，提供不凡學習體驗！,"作者Satya，微軟的第三任執行長，透過本書描繪了科技進步的前景及微軟內部即將面臨的新任務，以及未來新興科技將如何再度改變我們的生活，例如人工智慧、混合實境及量子電腦等，人、組織以及社會該如何面對未來科技的變革，持續追求新能源及新想法。 這本書同時也是紐約時報和金融時報麥肯錫最佳商業選書。"
29,24,"Wonton 混沌派對",國際電玩展,貿易中心,21:00,24:00,那些太過美好的不可能，就像這場派對。,巨大的飛船好像很高科技但這東西二戰之後不是就很少見了嗎？牆壁上爬滿不明所以的管線看來建築師已經不再費心將線路藏進牆裡，廣告看板裡的人物可以跟自己調情一向是全人類的夢想，卻找到控制系統證明法西斯從來不退流行有效率的掌控這個世界。死寂一片的城市井然有序，表面和諧卻隱隱躁動著。這是最糟糕政府的假想之地，以為2049啊？醒醒吧，我們其實沒有未來，歡迎來到現世絕望鄉－混沌派對
59,24,NASA太空講座,太空講座,明日之廳,09:00,09:30,NASA將宣布最新宇宙探索計畫,日本的月球人造衛星「輝夜姬」回傳的資料，日本宇宙航空研究開發機構（JAXA）於10月表示，月球地底竟藏了個寬100公尺，長達50公里的神秘大空間，可能是「人類月球基地」的絕佳建設地點。而美國太空總署（NASA）於9日表示，未來將會派遣探查火箭前往探勘。
88,24,APP關鍵報告,APP報告,演講廳,14:30,16:00,Flurr報告2017年行動市場趨勢,"2017 年 App 整體使用量的成長幅度為 6%，與 2016 年的成長幅度 11% 相比，2017 年成長趨向平緩。正如 Flurry 在 2017 年發布的數據報告：使用者每天使用智慧型手機的時間已超過 5 小時，App 總使用時間已趨飽和，只是在新下載與已安裝的 App 間重新進行分配。"
44,25,科幻的未來,科幻的未來,國際會議中心,09:00,12:00,"「科幻的未來 ‧ 未來的科幻」座談會",科幻小說在世界各國都是廣受年輕人喜愛的文類。近年來大陸的科幻小說風起雲湧，蔚為大觀。反觀台灣的科幻小說在九○年代有傑出的成績，但是這幾年卻比較消沉，原因究竟是什麼？科幻本來就是預測未來的文類，但是科幻小說的未來又在哪裡？乘張系國回台之便，藉由一場來自兩世代台灣科幻小說的對談，讓我們一起重新認識台灣科幻小說面臨的困境及未來發展。
62,25,NASA太空講座,太空講座,明日之廳,09:00,09:30,NASA將宣布最新宇宙探索計畫,日本的月球人造衛星「輝夜姬」回傳的資料，日本宇宙航空研究開發機構（JAXA）於10月表示，月球地底竟藏了個寬100公尺，長達50公里的神秘大空間，可能是「人類月球基地」的絕佳建設地點。而美國太空總署（NASA）於9日表示，未來將會派遣探查火箭前往探勘。
89,25,APP關鍵報告,APP報告,演講廳,14:30,16:00,Flurr報告2017年行動市場趨勢,"2017 年 App 整體使用量的成長幅度為 6%，與 2016 年的成長幅度 11% 相比，2017 年成長趨向平緩。正如 Flurry 在 2017 年發布的數據報告：使用者每天使用智慧型手機的時間已超過 5 小時，App 總使用時間已趨飽和，只是在新下載與已安裝的 App 間重新進行分配。"
37,26,"FA訪談秀 YouTuber",FA訪談秀,空中花園,13:00,14:00,她如何孤身一人，踏入紐約時尚界？,"留著一頭短髮，笑起來十分陽光，知性優雅中帶點小時髦。她是Serene，今年才20歲，目前就讀美國杜克大學。最初是在Dcard女孩版上，以一系列的「 紐約時尚實習日誌」文章為人所知。輔修視覺媒體的她，也有屬於自己的Youtube頻道。年紀輕輕，所擁有的不凡生活體驗和人生觀，是許多同齡女孩們所不曾擁有、且一心嚮往的。樂於分享的她，把自己的生活經驗分享給網友們，也成為了許多人學習的目標。"
90,26,APP關鍵報告,APP報告,演講廳,14:30,16:00,Flurr報告2017年行動市場趨勢,"2017 年 App 整體使用量的成長幅度為 6%，與 2016 年的成長幅度 11% 相比，2017 年成長趨向平緩。正如 Flurry 在 2017 年發布的數據報告：使用者每天使用智慧型手機的時間已超過 5 小時，App 總使用時間已趨飽和，只是在新下載與已安裝的 App 間重新進行分配。"
6,26,台北COMPUTEX,COMPUTEX,貿易中心,10:00,16:00,物聯網的應用已愈來愈精彩，了解最新趨勢！,"廠商預期 2018 年物聯網就要進入商機爆發期，使得物聯網應用成為今年 COMPUTEX 的重頭戲，包括聚焦安全應用、智慧居家與娛樂、智慧穿戴、車用電子、3D 商業、智慧科技解決方案、智慧製造等超過 180 家廠商參展，當中也能看到台廠在物聯網時代的轉型成果。"
54,27,微軟的重生如何改變未來,科技商學院,國際會議中心,15:00,17:00,整合科技與商業，提供不凡學習體驗！,"作者Satya，微軟的第三任執行長，透過本書描繪了科技進步的前景及微軟內部即將面臨的新任務，以及未來新興科技將如何再度改變我們的生活，例如人工智慧、混合實境及量子電腦等，人、組織以及社會該如何面對未來科技的變革，持續追求新能源及新想法。 這本書同時也是紐約時報和金融時報麥肯錫最佳商業選書。"
43,27,科幻的未來,科幻的未來,國際會議中心,09:00,12:00,"「科幻的未來 ‧ 未來的科幻」座談會",科幻小說在世界各國都是廣受年輕人喜愛的文類。近年來大陸的科幻小說風起雲湧，蔚為大觀。反觀台灣的科幻小說在九○年代有傑出的成績，但是這幾年卻比較消沉，原因究竟是什麼？科幻本來就是預測未來的文類，但是科幻小說的未來又在哪裡？乘張系國回台之便，藉由一場來自兩世代台灣科幻小說的對談，讓我們一起重新認識台灣科幻小說面臨的困境及未來發展。
93,27,APP關鍵報告,APP報告,演講廳,14:30,16:00,Flurr報告2017年行動市場趨勢,"2017 年 App 整體使用量的成長幅度為 6%，與 2016 年的成長幅度 11% 相比，2017 年成長趨向平緩。正如 Flurry 在 2017 年發布的數據報告：使用者每天使用智慧型手機的時間已超過 5 小時，App 總使用時間已趨飽和，只是在新下載與已安裝的 App 間重新進行分配。"
70,28,星際大戰變裝秀,變裝秀,未來大道,19:00,20:30,穿上你最酷的服裝，共襄盛舉吧！,"2017年年底以及四月中釋出的新篇《星際大戰》預告《Star Wars: The Force Awaken》想必讓不少星際迷雀躍不已。說到這經典電影星際大戰，日編對R2-D2最情有獨衷了！雖然他只會發出嗶嗶嗶的聲音，但果然厲害的機器人在危急時刻總能化險為夷！這次美國的Sideshow網站召集了90名星際迷來為R2-D2舉辦一場爭奇鬥豔的變裝秀活動，裡面不乏知名電影融入R2-D2的造型中。"
38,28,"FA訪談秀 YouTuber",FA訪談秀,空中花園,13:00,14:00,她如何孤身一人，踏入紐約時尚界？,"留著一頭短髮，笑起來十分陽光，知性優雅中帶點小時髦。她是Serene，今年才20歲，目前就讀美國杜克大學。最初是在Dcard女孩版上，以一系列的「 紐約時尚實習日誌」文章為人所知。輔修視覺媒體的她，也有屬於自己的Youtube頻道。年紀輕輕，所擁有的不凡生活體驗和人生觀，是許多同齡女孩們所不曾擁有、且一心嚮往的。樂於分享的她，把自己的生活經驗分享給網友們，也成為了許多人學習的目標。"
60,28,NASA太空講座,太空講座,明日之廳,09:00,09:30,NASA將宣布最新宇宙探索計畫,日本的月球人造衛星「輝夜姬」回傳的資料，日本宇宙航空研究開發機構（JAXA）於10月表示，月球地底竟藏了個寬100公尺，長達50公里的神秘大空間，可能是「人類月球基地」的絕佳建設地點。而美國太空總署（NASA）於9日表示，未來將會派遣探查火箭前往探勘。
78,29,新VR眼鏡發表會,VR發表會,未來大道,10:30,11:30,"Magic Leap新機發表","從 Google 等公司募集了 20 億美元、卻未推出任何產品的 Magic Leap 公司，終於在成立 7 年後，於 2017 年 12 月發表了 AR 眼鏡 Magic Leap One，號稱視覺和音效逼真，而且不容易產生暈眩感，預定 2018 年要推出創作者版本。因此今年是值得期待 AR 和 VR 創新技術的一年，預料市場規模在 2020 年會達到 1,200 億美元。"
55,29,微軟的重生如何改變未來,科技商學院,國際會議中心,15:00,17:00,整合科技與商業，提供不凡學習體驗！,"作者Satya，微軟的第三任執行長，透過本書描繪了科技進步的前景及微軟內部即將面臨的新任務，以及未來新興科技將如何再度改變我們的生活，例如人工智慧、混合實境及量子電腦等，人、組織以及社會該如何面對未來科技的變革，持續追求新能源及新想法。 這本書同時也是紐約時報和金融時報麥肯錫最佳商業選書。"
41,29,"FA訪談秀 YouTuber",FA訪談秀,空中花園,13:00,14:00,她如何孤身一人，踏入紐約時尚界？,"留著一頭短髮，笑起來十分陽光，知性優雅中帶點小時髦。她是Serene，今年才20歲，目前就讀美國杜克大學。最初是在Dcard女孩版上，以一系列的「 紐約時尚實習日誌」文章為人所知。輔修視覺媒體的她，也有屬於自己的Youtube頻道。年紀輕輕，所擁有的不凡生活體驗和人生觀，是許多同齡女孩們所不曾擁有、且一心嚮往的。樂於分享的她，把自己的生活經驗分享給網友們，也成為了許多人學習的目標。"
68,30,星際大戰變裝秀,變裝秀,未來大道,19:00,20:30,穿上你最酷的服裝，共襄盛舉吧！,"2017年年底以及四月中釋出的新篇《星際大戰》預告《Star Wars: The Force Awaken》想必讓不少星際迷雀躍不已。說到這經典電影星際大戰，日編對R2-D2最情有獨衷了！雖然他只會發出嗶嗶嗶的聲音，但果然厲害的機器人在危急時刻總能化險為夷！這次美國的Sideshow網站召集了90名星際迷來為R2-D2舉辦一場爭奇鬥豔的變裝秀活動，裡面不乏知名電影融入R2-D2的造型中。"
42,30,科幻的未來,科幻的未來,國際會議中心,09:00,12:00,"「科幻的未來 ‧ 未來的科幻」座談會",科幻小說在世界各國都是廣受年輕人喜愛的文類。近年來大陸的科幻小說風起雲湧，蔚為大觀。反觀台灣的科幻小說在九○年代有傑出的成績，但是這幾年卻比較消沉，原因究竟是什麼？科幻本來就是預測未來的文類，但是科幻小說的未來又在哪裡？乘張系國回台之便，藉由一場來自兩世代台灣科幻小說的對談，讓我們一起重新認識台灣科幻小說面臨的困境及未來發展。
56,30,微軟的重生如何改變未來,科技商學院,國際會議中心,15:00,17:00,整合科技與商業，提供不凡學習體驗！,"作者Satya，微軟的第三任執行長，透過本書描繪了科技進步的前景及微軟內部即將面臨的新任務，以及未來新興科技將如何再度改變我們的生活，例如人工智慧、混合實境及量子電腦等，人、組織以及社會該如何面對未來科技的變革，持續追求新能源及新想法。 這本書同時也是紐約時報和金融時報麥肯錫最佳商業選書。"
30,31,"Wonton 混沌派對",國際電玩展,貿易中心,21:00,24:00,那些太過美好的不可能，就像這場派對。,巨大的飛船好像很高科技但這東西二戰之後不是就很少見了嗎？牆壁上爬滿不明所以的管線看來建築師已經不再費心將線路藏進牆裡，廣告看板裡的人物可以跟自己調情一向是全人類的夢想，卻找到控制系統證明法西斯從來不退流行有效率的掌控這個世界。死寂一片的城市井然有序，表面和諧卻隱隱躁動著。這是最糟糕政府的假想之地，以為2049啊？醒醒吧，我們其實沒有未來，歡迎來到現世絕望鄉－混沌派對
79,31,新VR眼鏡發表會,VR發表會,未來大道,10:30,11:30,"Magic Leap新機發表","從 Google 等公司募集了 20 億美元、卻未推出任何產品的 Magic Leap 公司，終於在成立 7 年後，於 2017 年 12 月發表了 AR 眼鏡 Magic Leap One，號稱視覺和音效逼真，而且不容易產生暈眩感，預定 2018 年要推出創作者版本。因此今年是值得期待 AR 和 VR 創新技術的一年，預料市場規模在 2020 年會達到 1,200 億美元。"
7,31,台北COMPUTEX,COMPUTEX,貿易中心,10:00,16:00,物聯網的應用已愈來愈精彩，了解最新趨勢！,"廠商預期 2018 年物聯網就要進入商機爆發期，使得物聯網應用成為今年 COMPUTEX 的重頭戲，包括聚焦安全應用、智慧居家與娛樂、智慧穿戴、車用電子、3D 商業、智慧科技解決方案、智慧製造等超過 180 家廠商參展，當中也能看到台廠在物聯網時代的轉型成果。"
